Step Time Temp
935.0 93.5 434.13742 
936.0 93.6 432.17507 
937.0 93.7 430.23076 
938.0 93.8 428.31787 
939.0 93.9 426.44681 
940.0 94.0 424.62451 
941.0 94.1 422.85408 
942.0 94.2 421.13443 
943.0 94.3 419.4602 
944.0 94.4 417.82227 
945.0 94.5 416.20904 
946.0 94.6 414.60826 
947.0 94.7 413.00889 
948.0 94.8 411.40219 
949.0 94.9 409.78209 
950.0 95.0 408.14472 
951.0 95.1 406.48807 
952.0 95.2 404.8118 
953.0 95.3 403.11722 
954.0 95.4 401.40725 
955.0 95.5 399.68594 
956.0 95.6 397.95779 
957.0 95.7 396.22704 
958.0 95.8 394.49715 
959.0 95.9 392.77068 
960.0 96.0 391.04962 
961.0 96.1 389.33605 
962.0 96.2 387.63264 
963.0 96.3 385.94303 
964.0 96.4 384.27166 
